Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
703,703,0,8388499,0
704,704,0,8388499,0
705,705,0,8388499,0
706,706,0,8388499,0
707,707,0,8388499,0
708,708,0,8388499,0
709,709,0,8388499,0
710,710,0,8388499,0
711,711,0,8388499,0
712,712,0,8388499,0
713,713,0,8388499,0
714,714,0,8388499,0
715,715,0,8388499,0
716,716,0,8388499,0
717,717,0,8388499,0
718,718,0,8388499,0
719,719,0,8388499,0
720,720,0,8388499,0
721,721,0,8388499,0
722,722,0,8388499,0
723,723,0,8388499,0
724,724,0,8388499,0
725,725,0,8388499,0
726,726,0,8388499,0
727,727,0,8388499,0
728,728,0,8388499,0
729,729,0,8388499,0
730,730,0,8388499,0
731,731,0,8388499,0
732,732,0,8388499,0
733,733,0,8388499,0
734,734,0,8388499,0
735,735,0,8388499,0
736,736,0,8388499,0
737,737,0,8388499,0
738,738,0,8388499,0
739,739,0,8388499,0
740,740,0,8388499,0
741,741,0,8388499,0
742,742,0,8388499,0
743,743,0,8388499,0
744,744,0,8388499,0
745,745,0,8388499,0
746,746,0,8388499,0
747,747,0,8388499,0
748,748,0,8388499,0
749,749,0,8388499,0
750,750,0,8388499,0
751,751,0,8388499,0
752,752,0,8388499,0
753,753,0,8388499,0
754,754,0,8388499,0
755,755,0,8388499,0
756,756,0,8388499,0
757,757,0,8388499,0
758,758,0,8388499,0
759,759,0,8388499,0
760,760,0,8388499,0
761,761,0,8388499,0
762,762,0,8388499,0
763,763,0,8388499,0
764,764,0,8388499,0
765,765,0,8388499,0
766,766,0,8388499,0
767,767,0,8388499,0
768,768,0,8388499,0
769,769,0,8388499,0
770,770,0,8388499,0
771,771,0,8388499,0
772,772,0,8388499,0
773,773,0,8388499,0
774,774,0,8388499,0
775,775,0,8388499,0
776,776,0,8388499,0
777,777,0,8388499,0
778,778,0,8388499,0
779,779,0,8388499,0
780,780,0,8388499,0
781,781,0,8388499,0
782,782,0,8388499,0
783,783,0,8388499,0
784,784,0,8388499,0
785,785,0,8388499,0
786,786,0,8388499,0
787,787,0,8388499,0
788,788,0,8388499,0
789,789,0,8388499,0
790,790,0,8388499,0
791,791,0,8388499,0
792,792,0,8388499,0
793,793,0,8388499,0
794,794,0,8388499,0
795,795,0,8388499,0
796,796,0,8388499,0
797,797,0,8388499,0
798,798,0,8388499,0
799,799,0,8388499,0
800,800,0,8388499,0
801,801,0,8388499,0
802,802,0,8388499,0
803,803,0,8388499,0
804,804,0,8388499,0
805,805,0,8388499,0
806,806,0,8388499,0
807,807,0,8388499,0
808,808,0,8388499,0
809,809,0,8388499,0
810,810,0,8388499,0
811,811,0,8388499,0
812,812,0,8388499,0
813,813,0,8388499,0
814,814,0,8388499,0
815,815,0,8388499,0
816,816,0,8388499,0
817,817,0,8388499,0
818,818,0,8388499,0
819,819,0,8388499,0
820,820,0,8388499,0
821,821,0,8388499,0
822,822,0,8388499,0
823,823,0,8388499,0
824,824,0,8388499,0
825,825,0,8388499,0
826,826,0,8388499,0
827,827,0,8388499,0
828,828,0,8388499,0
829,829,0,8388499,0
830,830,0,8388499,0
831,831,0,8388499,0
832,832,0,8388499,0
833,833,0,8388499,0
834,834,0,8388499,0
835,835,0,8388499,0
836,836,0,8388499,0
837,837,0,8388499,0
838,838,0,8388499,0
839,839,0,8388499,0
840,840,0,8388499,0
841,841,0,8388499,0
842,842,0,8388499,0
843,843,0,8388499,0
844,844,0,8388499,0
845,845,0,8388499,0
846,846,0,8388499,0
847,847,0,8388499,0
848,848,0,8388499,0
849,849,0,8388499,0
850,850,0,8388499,0
851,851,0,8388499,0
852,852,0,8388499,0
853,853,0,8388499,0
854,854,0,8388499,0
855,855,0,8388499,0
856,856,0,8388499,0
857,857,0,8388499,0
858,858,0,8388499,0
859,859,0,8388499,0
860,860,0,8388499,0
861,861,0,8388499,0
862,862,0,8388499,0
863,863,0,8388499,0
864,864,0,8388499,0
865,865,0,8388499,0
866,866,0,8388499,0
867,867,0,8388499,0
868,868,0,8388499,0
869,869,0,8388499,0
870,870,0,8388499,0
871,871,0,8388499,0
872,872,0,8388499,0
873,873,0,8388499,0
